Concelho;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Moimenta da Beira;10;4;7;14;50;63;13;11;39;79;20;49;40;58;76;89;94;53;110;66;103;69;62;55;72;83;33;56;38;66;31
Moita;2;13;0;15;7;0;0;0;0;0;0;0;2;3;6;75;53;71;141;106;163;48;36;44;44;30;76;50;69;71;66
Monção;28;144;28;63;140;77;17;50;22;208;61;74;56;81;55;158;158;180;196;80;128;110;96;69;175;199;56;95;48;265;291
Monchique;1;49;9;10;2;16;18;13;15;19;9;32;32;34;43;38;15;18;31;42;41;34;40;31;32;27;21;26;23;25;15
Mondim de Basto;4;35;25;11;40;31;16;36;14;70;10;14;44;26;60;116;77;58;158;69;170;119;94;80;64;155;67;35;29;71;69
Monforte;0;0;0;2;0;4;2;0;0;0;0;0;2;0;8;3;8;2;1;0;0;0;0;0;1;0;3;4;0;0;1
Montalegre;26;42;16;9;49;41;18;30;13;92;37;26;18;43;149;184;288;261;317;165;300;259;279;162;192;382;138;232;144;473;170
Montemor-o-Novo;11;0;25;2;0;20;0;0;0;0;0;0;9;0;0;51;36;4;7;6;6;6;8;24;9;12;19;13;11;6;8
Montemor-o-Velho;0;8;23;14;13;51;39;25;12;56;12;32;21;21;76;34;17;12;18;20;49;19;30;19;22;40;66;30;25;41;27
Montijo;12;16;12;0;0;0;0;0;0;1;0;0;1;5;13;71;93;55;148;89;172;101;101;114;130;57;97;98;85;82;53
Mora;5;1;5;0;0;4;2;0;0;1;0;0;4;1;9;10;9;5;4;2;2;3;6;0;3;0;5;9;3;5;3
Mortágua;1;0;5;10;12;3;13;5;9;5;24;18;16;11;16;25;14;14;30;24;25;14;6;9;10;42;15;15;12;13;26
Moura;1;0;0;0;0;18;2;0;0;0;0;0;2;3;28;10;9;9;6;0;2;7;2;5;1;3;4;5;1;2;0
Mourão;0;4;3;2;0;5;0;0;0;0;0;0;0;0;7;4;2;3;1;0;1;1;1;1;0;0;3;2;2;0;2
Murça;13;38;26;4;24;40;8;4;4;57;27;50;44;18;66;81;41;45;106;57;123;133;70;43;58;87;36;37;61;75;40
Murtosa;0;1;0;0;0;0;0;8;7;9;2;7;8;3;10;17;9;3;12;7;10;28;22;18;13;28;18;14;6;15;11
Nazaré;2;0;0;1;2;3;1;1;11;99;3;8;6;4;35;32;23;33;19;54;38;40;30;9;11;45;19;17;26;13;7
Nelas;4;14;6;16;60;53;12;24;9;27;38;42;47;56;91;172;81;106;171;125;101;146;80;90;84;170;56;46;46;66;55
Nisa;0;18;6;0;0;2;14;0;0;0;0;0;13;5;45;24;9;8;8;4;8;9;7;13;5;11;12;4;7;11;2
Óbidos;0;0;7;5;8;0;0;0;1;70;1;0;1;4;22;55;59;73;48;46;74;40;41;32;48;82;20;56;42;34;35
Odemira;1;0;17;2;0;18;11;21;27;4;4;0;30;5;64;78;31;28;51;19;22;35;22;50;39;48;21;32;21;27;20
Odivelas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;256;0;162;139;99;90;102;101;87;102;123
Oeiras;3;7;1;6;42;1;0;0;0;0;0;0;0;1;3;2;213;204;212;160;279;102;78;42;73;38;97;40;44;48;36
Oleiros;17;73;25;51;46;54;36;0;17;24;12;48;1;23;29;35;33;23;27;26;24;36;17;45;5;34;11;18;22;11;8
Olhão;0;0;0;0;0;1;1;1;1;0;23;66;77;34;18;18;26;6;15;25;7;8;12;3;11;19;53;62;47;55;24
Oliveira de Azeméis;1;0;0;1;6;2;13;0;1;95;60;53;116;52;79;141;117;72;125;172;278;210;230;178;149;493;86;110;79;186;354
Oliveira de Frades;12;44;16;44;44;80;36;40;13;33;60;97;76;68;25;80;39;56;17;43;55;104;125;77;93;82;26;63;23;36;79
Oliveira do Bairro;0;9;14;0;0;12;13;8;31;25;4;25;29;13;44;36;13;9;8;16;26;26;32;24;19;63;37;49;40;39;48
Oliveira do Hospital;7;3;34;121;84;203;110;43;42;118;75;105;132;80;63;88;34;31;55;43;49;90;74;51;55;103;58;57;49;78;99
Ourém;26;17;0;15;0;1;16;30;102;12;32;24;32;19;59;272;172;178;167;277;223;111;152;115;113;224;151;90;105;81;40
Ourique;0;7;5;0;0;0;6;18;17;0;3;0;7;2;24;14;18;9;9;3;4;8;6;15;11;12;4;9;10;6;6
Ovar;4;52;13;44;66;113;95;52;74;125;35;81;245;149;145;199;130;108;150;124;120;142;291;205;130;245;59;108;61;111;108
Paços de Ferreira;0;41;7;8;4;1;0;56;32;426;192;215;174;380;266;548;628;381;646;352;396;461;373;642;290;424;253;183;121;545;273
Palmela;1;3;0;5;6;0;0;0;0;0;0;2;16;9;36;122;107;86;172;123;202;77;170;105;110;128;176;133;111;85;102
Pampilhosa da Serra;6;3;16;13;9;21;17;16;7;32;12;38;26;23;10;25;17;20;24;22;38;33;27;19;18;29;9;8;13;13;11
Paredes;0;92;23;45;41;6;0;0;0;0;0;0;0;0;0;0;834;615;1150;730;776;747;777;1045;484;1041;563;324;224;689;779
Paredes de Coura;3;45;10;29;71;17;5;163;68;877;377;354;421;637;442;996;106;105;84;39;45;124;89;55;91;88;72;92;29;96;175
Pedrógão Grande;6;0;23;23;12;100;34;13;7;22;4;26;35;33;60;60;27;23;16;29;25;25;19;28;25;95;13;15;16;26;14
Penacova;1;3;13;10;21;43;29;14;12;9;30;62;39;41;37;65;25;19;30;60;22;39;35;18;18;65;32;25;28;34;56
Penafiel;48;67;13;8;64;12;0;74;23;337;168;213;235;326;323;820;605;455;743;421;852;582;642;641;408;828;371;367;215;744;645
Penalva do Castelo;11;70;32;25;43;49;52;26;27;46;56;26;44;39;119;119;50;53;128;106;53;59;35;40;31;45;20;20;19;31;16
Penamacor;1;0;8;1;21;51;41;0;91;37;66;77;0;36;81;90;59;56;82;102;74;43;42;30;30;46;32;26;30;34;22
Penedono;8;1;9;28;49;32;13;10;48;50;23;19;29;37;101;57;65;42;72;23;88;25;28;45;53;62;6;28;27;23;17
Penela;1;1;10;16;11;27;32;23;11;28;12;28;42;13;19;41;13;13;18;17;15;27;8;13;14;20;13;11;15;15;12
Peniche;0;6;5;4;12;0;0;0;3;72;0;2;0;0;2;40;54;40;59;82;77;61;30;23;39;35;23;32;34;47;22
Peso da Régua;2;35;0;0;10;21;14;23;17;29;18;18;22;22;57;128;85;83;138;84;136;91;116;52;72;136;62;58;31;80;43
Pinhel;1;29;11;23;82;78;11;26;32;82;77;74;34;47;182;107;108;138;152;130;120;87;60;84;50;58;33;111;60;106;73
Pombal;10;87;101;37;99;175;178;90;43;147;12;138;286;161;189;232;126;78;82;85;130;107;196;174;136;263;139;80;72;57;58
Ponte da Barca;2;0;18;0;41;9;5;34;33;124;25;40;67;36;81;213;174;166;171;115;217;128;256;69;108;239;107;146;65;251;258
Ponte de Lima;11;302;44;27;131;44;18;91;29;304;126;92;96;210;93;293;286;315;396;224;304;285;474;196;320;422;174;206;68;324;376
Ponte de Sôr;0;28;12;2;7;0;6;1;0;0;0;0;21;1;59;51;30;15;17;18;32;10;22;14;22;20;16;23;11;10;4
Portalegre;1;0;10;5;42;65;50;0;0;0;0;0;9;7;44;30;14;33;9;6;13;10;12;13;7;13;8;17;18;16;11
Portel;4;3;4;0;0;0;1;0;0;0;0;0;2;0;18;5;15;5;0;0;3;9;7;7;4;10;18;6;7;4;1
Portimão;0;4;4;3;3;11;17;9;10;2;14;51;57;26;29;25;14;10;10;34;11;5;13;13;10;18;52;40;28;38;32
Porto;0;0;0;0;0;0;0;73;21;81;67;79;14;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Porto de Mós;0;0;0;0;0;1;0;0;23;28;16;4;1;28;97;117;80;28;40;30;73;64;62;97;46;95;50;42;26;52;24
Póvoa de Lanhoso;0;0;10;19;24;25;0;109;7;368;177;80;85;113;110;291;260;184;414;195;216;349;371;349;179;332;193;133;88;251;207
Póvoa de Varzim;0;33;8;2;0;0;0;16;6;104;20;58;27;73;34;120;79;61;58;48;44;51;53;96;96;139;101;51;32;35;109
Proença-a-Nova;0;1;4;3;3;8;12;0;9;13;24;21;0;17;5;29;39;7;18;26;21;15;23;13;10;37;56;32;44;8;10
Redondo;3;0;5;2;0;5;0;0;0;0;0;0;1;1;9;5;7;2;0;2;0;1;7;1;2;1;5;2;3;5;1
Reguengos de Monsaraz;4;15;8;0;1;6;0;0;0;0;0;1;1;0;17;8;9;8;2;0;0;2;5;0;2;6;14;8;11;3;7
Resende;0;0;1;8;20;5;8;8;7;22;19;28;25;81;36;122;130;34;104;83;176;20;121;105;140;222;85;177;90;298;168
Ribeira de Pena;46;132;40;18;51;43;31;56;6;67;46;45;82;49;31;122;164;76;151;98;186;80;180;172;65;163;56;86;57;210;140
Rio Maior;15;34;0;22;0;2;0;0;39;33;2;9;4;10;19;109;44;51;75;59;86;45;92;120;51;52;18;32;23;38;12
Sabrosa;4;8;17;27;64;33;4;21;18;51;30;72;61;49;105;120;75;82;145;84;81;98;119;68;65;69;57;39;36;107;40
Sabugal;15;0;31;110;136;248;106;88;150;230;129;116;64;73;189;279;169;130;164;157;186;97;119;98;119;150;84;62;103;159;56
Salvaterra de Magos;0;9;0;4;0;0;0;0;5;4;7;5;10;8;29;49;54;34;41;40;45;28;51;50;56;49;33;34;25;20;27
Santa Comba Dão;10;25;16;30;41;73;20;15;13;17;21;87;49;57;77;128;60;52;68;118;70;53;24;30;19;101;36;22;25;23;19
Santa Maria da Feira;0;1;18;0;149;1;22;0;0;395;408;367;395;288;249;629;525;294;462;417;617;507;518;402;592;1736;401;444;249;625;594
Santa Marta de Penaguião;1;18;17;2;22;19;15;30;17;45;10;56;46;26;79;103;93;113;112;79;130;103;111;66;77;99;36;64;26;64;35
Santarém;20;41;17;66;10;1;1;1;73;5;7;15;15;5;51;241;141;94;164;153;239;90;129;156;118;150;87;70;98;53;40
Santiago do Cacém;24;19;14;11;5;39;0;0;0;0;0;0;14;9;53;80;50;27;24;8;8;43;35;37;30;55;54;55;56;34;34
Santo Tirso;0;65;11;3;26;0;0;200;64;783;568;411;368;515;302;781;743;469;785;296;522;516;468;542;352;545;430;206;123;463;445
São Brás de Alportel;2;0;0;0;0;18;10;7;12;3;10;25;25;32;17;24;15;8;6;15;10;7;5;10;7;25;33;9;16;16;7
São João da Madeira;0;0;0;0;3;0;0;0;0;69;0;17;31;62;25;31;17;18;26;14;10;1;5;6;6;62;9;33;4;6;10
São João da Pesqueira;6;0;22;7;32;34;15;14;45;61;16;42;45;54;131;113;115;106;161;81;194;86;68;67;89;117;59;105;34;20;19
São Pedro do Sul;28;28;56;30;69;87;56;95;51;87;118;129;120;104;117;109;95;105;46;54;120;89;59;74;49;89;46;29;21;76;75
Sardoal;3;0;0;6;2;0;1;3;4;2;1;2;4;4;0;46;15;15;29;16;20;14;11;15;8;34;11;15;12;8;2
Sátão;8;15;9;19;23;57;19;14;13;12;37;30;38;60;63;56;57;55;72;58;70;64;33;59;37;124;65;35;41;93;43
Seia;7;5;16;41;50;77;43;50;43;187;219;168;160;125;246;328;222;223;312;166;203;89;190;208;51;270;85;78;75;64;49
Seixal;4;65;0;29;82;0;0;0;0;0;0;0;3;31;7;165;95;86;145;109;165;91;116;110;94;71;132;147;151;111;110
Sernancelhe;5;0;6;6;36;29;14;12;48;46;33;21;33;24;86;80;64;69;86;73;101;56;58;50;56;85;21;34;25;37;34
Serpa;4;0;7;1;0;13;0;0;0;0;0;0;5;2;17;12;6;2;2;1;3;7;7;6;9;2;6;7;3;6;3
Sertã;24;40;19;45;15;46;97;0;30;42;45;78;0;76;66;126;84;41;58;54;22;20;75;71;17;91;68;33;47;34;43
Sesimbra;9;51;15;7;1;0;0;0;0;0;0;0;26;44;5;81;53;40;110;60;92;52;53;50;50;60;61;63;67;60;76
Setúbal;3;7;15;38;25;0;0;0;0;0;0;0;24;10;20;71;33;39;78;65;123;63;90;61;50;45;135;127;75;77;55
Sever do Vouga;2;1;2;1;30;38;7;20;30;41;5;47;68;35;32;52;29;30;33;84;59;33;79;40;99;68;62;86;72;67;125
Silves;1;22;8;12;0;37;29;5;11;10;32;146;100;48;46;45;37;26;23;73;20;29;44;27;25;39;96;61;68;77;38
Sines;28;41;15;12;0;11;0;0;0;0;0;0;7;1;37;28;29;11;17;7;11;19;13;10;14;18;18;16;23;16;11
Sintra;40;38;20;15;11;7;15;99;112;84;49;30;17;67;128;58;438;397;542;467;865;389;359;392;427;363;289;359;319;221;357
Sobral de Monte Agraço;12;8;0;2;4;0;0;0;0;0;0;4;4;8;146;154;56;46;141;56;164;65;49;65;91;118;64;62;43;34;26
Soure;1;0;27;28;5;59;55;6;24;57;31;41;38;38;37;76;38;30;51;63;73;20;46;41;60;77;38;42;42;31;24
Sousel;0;1;0;0;0;0;1;0;0;0;0;0;1;0;8;1;3;0;0;0;1;1;0;1;0;1;2;2;2;1;1
Tábua;29;16;54;126;66;162;102;30;40;78;88;153;97;66;69;65;47;42;66;36;62;76;65;40;37;89;54;35;25;35;44
Tabuaço;0;0;2;23;16;4;6;9;6;35;8;13;37;24;37;32;56;25;20;51;37;24;29;22;57;43;13;32;21;19;26
Tarouca;5;18;4;35;52;38;37;34;68;80;58;38;56;48;89;143;95;67;136;98;93;64;29;44;59;100;43;68;46;66;43
Tavira;2;1;1;3;0;4;6;10;14;7;23;57;71;40;47;53;31;36;32;46;21;25;33;22;20;32;65;47;36;34;29
Terras de Bouro;5;6;4;1;11;1;0;14;13;41;0;20;29;42;24;138;108;90;119;100;123;183;101;93;65;133;106;112;32;112;61
Tomar;3;0;0;5;5;2;22;53;68;48;39;24;21;22;27;120;98;96;114;188;197;49;108;83;82;122;79;63;61;63;29
Tondela;12;66;19;68;162;166;110;51;37;122;111;90;98;88;101;178;116;73;147;125;141;161;83;131;83;224;133;109;75;78;151
Torre de Moncorvo;2;5;0;0;2;2;8;19;8;10;7;37;23;46;99;151;82;125;219;79;180;138;63;58;104;70;36;66;59;84;67
Torres Novas;18;6;0;19;21;5;0;1;35;16;1;10;11;11;9;84;52;49;69;94;88;30;49;32;71;50;43;32;19;20;25
Torres Vedras;35;68;0;24;25;0;0;1;16;53;2;3;32;69;174;270;171;187;254;194;333;270;249;280;314;320;182;277;133;106;184
Trancoso;11;1;27;6;50;161;72;73;63;141;83;101;32;95;216;93;142;109;151;151;83;60;89;68;51;121;50;78;104;147;57
Trofa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;97;73;79;130;75;159;91;52;60;256;132
Vagos;1;28;12;0;1;0;8;49;20;17;3;39;50;21;43;56;13;6;16;20;29;19;24;17;22;56;35;34;23;31;32
Vale de Cambra;0;63;9;14;25;23;8;31;5;25;31;22;123;33;27;120;61;52;95;117;143;141;101;58;187;273;105;105;59;107;201
Valença;7;87;57;76;127;8;8;85;24;167;40;135;117;163;108;288;181;220;179;124;136;154;142;89;206;246;142;117;68;262;132
Valongo;0;12;12;51;67;7;0;97;23;222;91;148;161;165;95;198;201;188;299;153;170;177;193;233;135;223;90;98;110;170;221
Valpaços;5;8;3;3;26;43;14;32;12;66;47;106;56;27;134;197;237;200;323;147;283;181;182;151;164;213;173;135;155;301;167
Vendas Novas;6;6;8;5;0;8;0;0;0;0;0;0;7;0;29;50;21;2;4;4;1;5;12;4;4;0;16;8;3;8;4
Viana do Alentejo;0;0;0;0;0;8;0;0;0;1;0;0;3;0;15;6;5;3;0;0;1;1;2;2;1;3;4;5;3;1;7
Viana do Castelo;5;263;40;22;82;26;19;74;48;390;73;136;141;195;66;304;196;430;352;305;366;402;276;138;232;533;200;155;74;191;340
Vidigueira;0;0;7;0;0;5;0;0;0;0;0;0;2;1;16;11;4;2;1;0;1;0;6;3;3;2;14;10;10;6;3
Vieira do Minho;8;21;18;6;19;19;2;42;18;131;50;28;61;81;64;205;162;156;243;124;213;238;270;213;224;304;169;193;83;263;171
Vila de Rei;1;0;6;2;2;13;2;0;6;3;1;13;1;8;3;14;10;13;18;12;6;22;15;13;10;8;10;7;5;4;4
Vila do Bispo;3;0;1;2;0;22;7;8;6;5;10;13;18;10;22;11;8;5;13;9;7;3;2;10;4;8;29;14;7;11;7
Vila do Conde;0;0;9;5;16;0;0;47;48;194;134;190;198;241;67;355;177;203;246;156;117;156;199;289;246;408;134;133;84;206;220
Vila Flor;2;0;3;0;1;2;4;8;5;20;12;13;19;15;52;43;58;44;65;41;89;83;53;50;52;39;37;43;35;52;26
Vila Franca de Xira;0;1;13;0;2;0;0;0;0;0;0;0;0;0;2;6;110;92;171;146;193;141;180;195;167;151;135;97;89;54;86
Vila Nova da Barquinha;3;0;5;7;8;2;2;4;28;24;4;8;12;1;11;30;27;18;27;39;40;14;25;18;25;38;24;14;17;10;7
Vila Nova de Cerveira;27;67;45;26;69;24;18;53;9;89;62;31;51;85;69;116;75;95;175;65;66;48;135;42;88;68;51;44;22;34;30
Vila Nova de Famalicão;0;197;16;0;1;0;0;270;48;675;1;220;310;477;374;898;569;439;633;322;353;413;384;474;252;699;448;290;113;188;156
Vila Nova de Foz Côa;1;0;1;0;11;59;51;59;94;131;1;1;0;21;57;80;84;133;163;112;195;91;44;66;143;75;48;63;85;88;40
Vila Nova de Gaia;0;218;34;19;93;6;0;280;86;716;558;535;755;680;255;414;641;492;473;447;451;506;555;618;392;797;576;380;217;466;422
Vila Nova de Paiva;31;47;6;47;75;109;11;28;21;66;62;54;62;75;97;118;112;65;144;76;107;136;104;82;98;280;55;140;102;157;131
Vila Nova de Poiares;12;4;22;7;7;16;21;26;9;23;21;64;61;2;4;16;8;4;12;7;14;16;16;14;11;28;23;11;13;18;25
Vila Pouca de Aguiar;36;20;47;12;16;66;37;23;14;83;62;70;49;55;103;179;194;131;304;109;249;196;163;119;157;225;74;122;112;255;172
Vila Real;17;24;25;85;120;166;130;116;93;240;123;151;163;71;180;399;430;303;483;264;412;416;305;101;225;286;99;174;123;279;152
Vila Real de Santo António;6;0;0;1;1;2;2;3;4;1;25;40;25;24;24;27;21;9;17;11;9;6;10;5;14;6;27;13;16;16;9
Vila Velha de Ródão;2;2;9;7;3;1;13;0;17;5;16;19;0;15;26;36;23;10;14;27;7;13;13;12;13;34;23;18;41;18;16
Vila Verde;0;0;17;0;0;0;0;24;17;184;5;45;119;162;98;238;312;361;290;171;237;226;341;268;268;364;230;248;120;295;217
Vila Viçosa;2;0;5;1;0;9;0;0;0;0;0;0;3;0;38;9;7;6;2;0;0;1;2;3;0;1;6;4;4;1;2
Vimioso;0;18;0;4;1;0;0;2;6;1;1;32;38;14;55;118;70;54;76;62;83;63;62;36;34;46;13;31;33;50;33
Vinhais;19;13;55;10;22;11;33;68;43;126;47;65;34;13;83;133;130;92;170;121;229;164;107;100;73;140;39;95;70;114;62
Viseu;72;8;87;167;300;371;201;270;143;397;190;318;329;235;363;610;347;381;541;294;387;357;316;320;178;457;210;129;146;245;424
Vizela;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;106;161;112;60;76;77;63;69;31;48;28
Vouzela;15;12;33;18;16;52;35;69;16;81;53;72;46;43;63;83;48;92;46;28;74;64;41;48;50;102;15;45;22;24;38
